,Elevation,Longitude,Latitude
1655041,9.0,72.81396991208156,19.136923120058864
1655042,6.0,72.82484771489055,19.136923120058864
1655043,7.0,72.83572551769956,19.13692312005887
1655044,14.0,72.84660332050854,19.136923120058864
1655974,8.0,72.82484771489055,19.127834116457148
1655975,9.0,72.83572551769956,19.127834116457148
1656864,13.0,72.84660332050854,19.123289424868545
1656906,2.0,72.82484771489055,19.11874460678848
1656907,11.0,72.83572551769956,19.11874460678848
1657841,-3.0,72.82484771489055,19.1096545912552
1657842,10.0,72.83572551769956,19.1096545912552
1657843,14.0,72.84660332050855,19.1096545912552
1658770,12.0,72.83572551769956,19.10056407005971
1658771,15.0,72.84660332050854,19.10056407005971
1659707,3.0,72.83572551769956,19.091473043404484
1659708,12.0,72.84660332050854,19.091473043404495
1660637,9.0,72.83572551769956,19.082381511492066
1661583,13.0,72.83572551769956,19.07328947452504
1661584,7.0,72.84660332050854,19.07328947452504
1662536,-1.0,72.82484771489055,19.06419693270607
1662537,9.0,72.83572551769956,19.06419693270607
1662538,6.0,72.84660332050855,19.06419693270607
1663479,-5.0,72.82484771489055,19.05510388623789
1663480,7.0,72.83572551769956,19.05510388623789
1664439,3.0,72.84660332050854,19.04601033532328
1665410,0.0,72.83572551769956,19.036916280165094
1665411,12.0,72.84660332050854,19.03691628016509
1666355,13.0,72.83572551769956,19.027821720966244
1666356,11.0,72.84660332050854,19.02782172096624
1667297,28.0,72.82484771489055,19.018726657929722
1667298,11.0,72.83572551769956,19.018726657929722
1667299,9.0,72.84660332050854,19.018726657929722
