,Elevation,Longitude,Latitude
1725095,83.0,72.91187013736253,18.453857254556876
1725096,175.0,72.9227479401715,18.453857254556876
1725097,165.0,72.93362574298051,18.453857254556876
1725098,112.0,72.94450354578949,18.453857254556876
1725099,238.0,72.9553813485985,18.453857254556876
1725100,224.0,72.96625915140748,18.453857254556876
1725101,49.0,72.97713695421649,18.453857254556876
1725102,33.0,73.04240377107045,18.453857254556876
1725103,179.0,73.05328157387946,18.453857254556876
1725104,129.0,73.06415937668845,18.453857254556876
1725105,4.0,73.10767058792445,18.453857254556876
1725106,197.0,73.11854839073342,18.453857254556876
1725107,16.0,73.12942619354243,18.453857254556876
1725108,10.0,73.14030399635142,18.453857254556876
1725109,12.0,73.15118179916043,18.453857254556876
1725110,154.0,73.16205960196942,18.453857254556876
1725111,17.0,73.17293740477841,18.453857254556876
1725112,141.0,73.18381520758741,18.453857254556876
1726007,40.0,72.91187013736253,18.444730861721105
1726008,246.0,72.9227479401715,18.444730861721105
1726009,248.0,72.93362574298051,18.444730861721105
1726010,221.0,72.94450354578949,18.444730861721105
1726011,272.0,72.9553813485985,18.444730861721105
1726012,51.0,72.96625915140748,18.444730861721105
1726013,30.0,72.97713695421649,18.444730861721105
1726014,9.0,72.9880147570255,18.444730861721105
1726015,3.0,73.02064816545246,18.444730861721105
1726016,38.0,73.04240377107045,18.444730861721105
1726017,188.0,73.05328157387946,18.444730861721105
1726018,142.0,73.06415937668845,18.444730861721105
1726019,115.0,73.08047608090195,18.444730861721105
1726020,4.0,73.09679278511543,18.444730861721105
1726021,5.0,73.12942619354243,18.444730861721105
1726022,7.0,73.14030399635142,18.444730861721105
1726023,11.0,73.15118179916043,18.444730861721105
1726024,78.0,73.16205960196942,18.444730861721105
1726025,12.0,73.17293740477841,18.444730861721105
1726026,15.0,73.18381520758741,18.444730861721105
1726913,5.0,72.91187013736253,18.435603978169954
1726914,198.0,72.9227479401715,18.43560397816995
1726915,275.0,72.93362574298051,18.43560397816995
1726916,248.0,72.94450354578949,18.435603978169954
1726917,284.0,72.9553813485985,18.43560397816995
1726918,70.0,72.96625915140748,18.43560397816995
1726919,14.0,72.97713695421649,18.435603978169954
1726920,6.0,72.9880147570255,18.43560397816995
1726921,38.0,73.02064816545246,18.43560397816995
1726922,31.0,73.03152596826148,18.43560397816995
1726923,64.0,73.04240377107045,18.435603978169954
1726924,109.0,73.05328157387946,18.43560397816995
1726925,131.0,73.06415937668845,18.43560397816995
1726926,177.0,73.07503717949743,18.43560397816995
1726927,149.0,73.08591498230645,18.435603978169954
1726928,3.0,73.10767058792445,18.440167481272006
1726929,4.0,73.12398729213793,18.43560397816995
1726930,6.0,73.14030399635142,18.43560397816995
1726931,10.0,73.15118179916043,18.435603978169954
1726932,53.0,73.16205960196942,18.43560397816995
1726933,11.0,73.17293740477841,18.43560397816995
1726934,13.0,73.18381520758741,18.43560397816995
1727838,4.0,72.91187013736253,18.426476604110483
1727839,19.0,72.9227479401715,18.426476604110483
1727840,169.0,72.93362574298051,18.426476604110483
1727841,304.0,72.94450354578949,18.426476604110483
1727842,292.0,72.9553813485985,18.426476604110483
1727843,214.0,72.96625915140748,18.426476604110483
1727844,92.0,72.97713695421649,18.426476604110483
1727845,13.0,72.9880147570255,18.426476604110483
1727846,5.0,73.00433146123898,18.426476604110483
1727847,12.0,73.02064816545246,18.426476604110483
1727848,16.0,73.04240377107045,18.426476604110483
1727849,77.0,73.05328157387946,18.426476604110483
1727850,67.0,73.06415937668845,18.426476604110483
1727851,96.0,73.07503717949743,18.426476604110483
1727852,106.0,73.08591498230645,18.426476604110483
1727853,163.0,73.09679278511543,18.426476604110483
1727854,146.0,73.11310948932893,18.426476604110483
1727855,7.0,73.14030399635142,18.426476604110483
1727856,12.0,73.16749850337392,18.426476604110483
1728749,22.0,73.12942619354243,18.421912733204866
